,k,Q_D,P_D,E_TES,Q_in_TES,Q_out_TES,delta_in_TES,delta_out_TES,Q_in_B1,Q_in_B2,Q_out_B1,Q_out_B2,delta_B1,delta_B2,Q_in_CHP1,Q_in_CHP2,Q_out_CHP1,Q_out_CHP2,P_out_CHP1,P_out_CHP2,delta_CHP1,delta_CHP2,P_grid
76,77,358.7956335,396.6608949,961.6588622979937,111.20436649996799,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0,1.0,-0.0,16.5365526703946
77,78,365.764259,396.6608949,572.8084945368166,0.0,365.76425900000027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,396.6608949
78,79,381.4436671,396.6608949,653.8701453138224,88.55633289999997,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,-0.0,1.0,16.5365526703946
79,80,410.6426673,587.1223702,219.43235487853673,0.0,410.6426673000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,587.1223702
80,81,541.2815198,781.293796,596.1751075321024,398.7184802000009,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,21.045111540789208
81,82,510.2371802,781.293796,1000.0,429.28018056656566,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,976.0213884237228,470.0,469.5173607665656,380.1243422296054,379.6080383933351,1.0,1.0,21.561415377059518
82,83,470.167779,791.3176496,501.33425167840073,0.0,470.1677790000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
83,84,453.1732935,791.3176496,960.1649190298056,486.8267065000017,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
84,85,456.6195372,791.3176496,475.9235622413139,0.0,456.6195372000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
85,86,462.0876488,791.3176496,926.433464751929,477.9123512000001,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,31.068965140789146
86,87,460.9349327,791.3176496,437.8291601149725,0.0,460.9349327,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,791.3176496
87,88,488.5970503,779.3760622,863.4079828503826,451.40294970000116,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,977.1309771309772,470.0,470.0,380.1243422296054,380.1243422296054,1.0,1.0,19.127377740789143
88,89,503.6051387,779.3760622,330.31411589947527,0.0,503.6051387,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,779.3760622
