k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
114,339.4851783,396.6608949,1000.0,1000.0,897.7500000000001,63.23363265734571,0.0,0.0,0.0,0.0,1118.8834303444778,0.0,441.7351782999998,0.0,333.4272622426543,0.0
115,350.6940407,396.6608949,1000.0,1000.0,897.7500000000001,54.77304249726461,0.0,0.0,0.0,0.0,1147.274672492401,0.0,452.94404069999985,0.0,341.8878524027354,0.0
116,354.1783523,396.6608949,1000.0,1000.0,897.7500000000001,52.143040327051835,0.0,0.0,0.0,0.0,1156.1001831306987,0.0,456.4283522999998,0.0,344.5178545729482,0.0
117,382.0528543,396.6608949,1000.0,1000.0,897.7500000000001,31.10301602107404,0.0,0.0,0.0,0.0,0.0,1226.7042915400202,0.0,484.3028542999999,0.0,365.557878878926
118,400.6073867,396.6608949,1000.0,1000.0,897.7500000000001,17.09782185896671,0.0,0.0,0.0,0.0,1273.701587386018,0.0,502.8573866999999,0.0,379.5630730410333,0.0
119,414.5446376,396.6608949,1000.0,1000.0,897.7500000000001,6.577809781459109,0.0,0.0,0.0,0.0,1309.0036413373857,0.0,516.7946375999999,0.0,390.0830851185409,0.0
120,404.0916982,396.6608949,1000.0,1000.0,897.7500000000001,14.467819764235287,0.0,0.0,0.0,0.0,1282.5270977710227,0.0,506.34169819999977,0.0,382.19307513576473,0.0
121,423.2554178,396.6608949,1000.0,1000.0,897.7500000000001,0.002803450152100595,0.0,0.0,0.0,0.0,1331.0674209726442,0.0,525.5054177999999,0.0,396.6580914498479,0.0
122,444.1612943,396.6608949,1000.0,1000.0,918.6521623989262,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949,0.0
123,426.7397318,396.6608949,978.0526379194574,1000.0,901.2305998989261,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949,0.0
124,412.8024807,396.6608949,974.5074557039017,1000.0,887.2933487989262,0.0,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949
125,430.2240433,396.6608949,985.6141298653719,1000.0,904.7149113989262,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949,0.0
126,451.1299199,396.6608949,978.3726922134168,1000.0,925.6207879989262,0.0,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949
127,446.512641,396.6608949,949.2161093744857,1000.0,921.0035090989261,0.0,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949
128,436.8855768,396.6608949,925.0531086700687,1000.0,911.3764448989261,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949,0.0
129,401.3612252,396.6608949,911.1190810156706,1000.0,875.8520932989261,0.0,0.0,0.0,0.0,0.0,0.0,1331.0768285234901,0.0,525.5091319010738,0.0,396.6608949
130,326.6620243,396.6608949,934.5552744081223,1000.0,835.7328123850315,26.10135804422339,0.0,0.0,0.0,0.0,1243.4883787106598,0.0,490.9292119149685,0.0,370.5595368557766,0.0
131,340.0834718,396.6608949,1000.0,1000.0,897.7500000000001,62.782033206990945,0.0,0.0,0.0,0.0,1120.3988647416413,0.0,442.3334718,0.0,333.87886169300907,0.0
132,311.7575129,396.6608949,1000.0,1000.0,897.7500000000001,84.1628228528877,0.0,0.0,0.0,0.0,1048.6512484802427,0.0,414.0075128999998,0.0,312.4980720471123,0.0
