k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
13,455.6758214,791.3176496,215.87079408594542,14.324178600003513,0.0,411.19330737039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
14,473.1244571,791.3176496,228.36805193176605,0.0,3.124457099999745,411.19330737039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
15,481.4872323,779.3760622,223.94827213373065,0.0,11.487232299997231,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
16,486.1668577,779.3760622,210.7696242373305,0.0,16.166857699997195,399.25171997039456,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
17,488.5970503,779.3760622,192.74310476663763,0.0,18.597050299997875,399.25171997039456,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
18,498.1615104,714.0545666,172.25479934506387,0.0,28.161510399998235,333.9302243703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
19,371.1083804,585.2046364,141.82600648593254,98.89161960000008,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
20,373.1786634,585.2046364,234.83124384712877,96.82133660000004,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
21,375.2489441,585.2046364,325.41070880507726,94.75105590000427,0.0,205.0802941703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
22,348.3426941,396.6608949,413.57650329207854,121.65730590000777,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
23,350.084851,396.6608949,526.799696483682,0.0,350.0848510000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,350.084851,396.6608949,156.58292604762113,119.91514900000507,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
25,353.569165,396.6608949,269.4370830593705,116.43083500000489,0.0,16.5365526703946,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054
26,355.3113195,396.6608949,378.4264830601252,0.0,355.3113195000003,396.6608949,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,357.0534765,396.6608949,3.462006287620966,112.94652350000416,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
28,362.279945,396.6608949,110.47625186456735,107.72005500000517,0.0,16.5365526703946,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,977.1309771309772,0.0,470.0,0.0,380.1243422296054,0.0
