k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
70,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,133.63386838033534,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,725.4771058366059,360.5377905,263.0270265196647,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,0.0,0.0,0.0,137.36121700918397,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,717.46665994016,357.0534765,259.29967789081604,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,129.9065224258643,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,733.487545985546,364.022102,266.7543724741357,0.0,0.0,0.0,0.0,0.0
75,353.569165,396.6608949,0.0,0.0,0.0,141.08856296365488,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,709.4562197912198,353.569165,255.57233193634514,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,0.0,0.0,0.0,135.49754269475966,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,721.471882888383,358.7956335,261.16335220524036,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,0.0,0.0,0.0,128.0428481114401,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,737.492768933769,365.764259,268.6180467885599,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,0.0,0.0,0.0,111.26978452340143,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,773.5397642026643,381.4436671,285.3911103765986,0.0,0.0,0.0,0.0,0.0
79,410.6426673,587.1223702,0.0,0.0,0.0,270.4955981237897,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,840.6683327910329,410.6426673,316.6267720762103,0.0,0.0,0.0,0.0,0.0
80,541.2815198,781.293796,0.0,0.0,0.0,438.309585104476,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,897.3131113333112,435.28151979999996,342.98421089552403,0.0,0.0,0.0,0.0,0.0
81,510.2371802,781.293796,0.0,0.0,0.0,471.51930060129143,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,825.9421032219033,404.2371802,309.7744953987086,0.0,0.0,0.0,0.0,0.0
82,470.167779,791.3176496,0.0,0.0,0.0,524.4074389992762,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,733.8224577434578,364.167779,266.91021060072376,0.0,0.0,0.0,0.0,0.0
83,453.1732935,791.3176496,0.0,0.0,0.0,429.1936946491569,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,938.4463402028402,453.1732935,362.1239549508431,0.0,0.0,0.0,0.0,0.0
84,456.6195372,791.3176496,0.0,0.0,0.0,425.50707176445894,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,946.3692623920624,456.6195372,365.81057783554104,0.0,0.0,0.0,0.0,0.0
85,462.0876488,791.3176496,0.0,0.0,0.0,419.6575535308408,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,958.9404635316636,462.0876488,371.6600960691592,0.0,0.0,0.0,0.0,0.0
86,460.9349327,791.3176496,0.0,0.0,0.0,420.890672811935,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,956.2903665676665,460.9349327,370.42697678806496,0.0,0.0,0.0,0.0,0.0
87,488.5970503,779.3760622,0.0,0.0,0.0,492.7511189113685,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,776.1913948310948,382.5970503,286.62494328863147,0.0,0.0,0.0,0.0,0.0
88,503.6051387,779.3760622,0.0,0.0,0.0,476.6962002905499,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,810.6950245663246,397.6051387,302.6798619094501,0.0,0.0,0.0,0.0,0.0
89,516.1118787,779.3760622,0.0,0.0,0.0,463.3171017964514,1.0,0.0,1.0,0.0,0.0,1.0,114.6125,106.00000000000001,839.4480485793487,410.11187870000003,316.05896040354855,0.0,0.0,0.0,0.0,0.0
90,536.2694503,714.0545666,0.0,0.0,0.0,376.43202241376764,1.0,0.0,1.0,0.0,1.0,0.0,114.6125,106.00000000000001,885.7903520300521,430.2694503,337.6225441862324,0.0,0.0,0.0,0.0,0.0
91,404.2328834,585.2046364,0.0,0.0,0.0,275.43473750768794,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,825.9322248688248,404.2328834,309.7698988923121,0.0,0.0,0.0,0.0,0.0
92,418.7248531,585.2046364,0.0,0.0,0.0,259.9319374183128,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,859.2492965261966,418.7248531,325.2726989816872,0.0,0.0,0.0,0.0,0.0
93,414.5842893,585.2046364,0.0,0.0,0.0,264.3613099727354,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,849.730130830831,414.5842893,320.8433264272646,0.0,0.0,0.0,0.0,0.0
94,372.7328846,396.6608949,0.0,0.0,0.0,120.58815342114542,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,753.5136552090552,372.7328846,276.0727414788546,0.0,0.0,0.0,0.0,0.0
95,367.506416,396.6608949,0.0,0.0,0.0,126.17917379701578,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,741.4979918819919,367.506416,270.48172110298424,0.0,0.0,0.0,0.0,0.0
96,372.7328846,396.6608949,0.0,0.0,0.0,120.58815342114542,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,753.5136552090552,372.7328846,276.0727414788546,0.0,0.0,0.0,0.0,0.0
97,365.764259,396.6608949,0.0,0.0,0.0,128.0428481114401,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,737.492768933769,365.764259,268.6180467885599,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,0.0,0.0,0.0,114.99713315225006,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,765.5293183062183,377.9593531,281.66376174774996,0.0,0.0,0.0,0.0,0.0
99,360.5377905,396.6608949,0.0,0.0,0.0,133.63386838033534,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,725.4771058366059,360.5377905,263.0270265196647,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,0.0,0.0,0.0,131.77019674028872,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,729.4823230373231,362.279945,264.8906981597113,0.0,0.0,0.0,0.0,0.0
101,346.6005395,396.6608949,0.0,0.0,0.0,148.54325754697444,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,693.4353337458339,346.6005395,248.11763735302557,0.0,0.0,0.0,0.0,0.0
102,353.569165,396.6608949,0.0,53.39790583220041,0.0,83.96609607719165,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,832.2181280613569,406.9670708322004,312.69479882280837,0.0,0.0,0.0,0.0,0.0
103,352.4361953,396.6608949,50.60140161700504,0.0,0.0,142.30055851222542,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,706.8515198462198,352.4361953,254.3603363877746,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,50.34902607356079,121.86456600000002,0.0,16.5365526703946,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,0.0,0.0,0.0
105,312.5361524,396.6608949,165.58030039234112,0.0,0.0,184.98367208761405,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,615.1212294888295,312.5361524,211.67722281238596,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,164.75446519885242,169.0697439,0.0,16.5365526703946,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,324.1481333375077,0.0,161.7250826,396.6608949,1.0,0.0,0.0,0.0,0.0,1.0,114.6125,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,152.71939261306105,0.0,0.0,396.6608949,1.0,0.0,0.0,0.0,1.0,0.0,305.2292991032812,253.5148143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,151.95770146472248,0.0,143.9992176,396.6608949,1.0,0.0,0.0,0.0,0.0,1.0,114.6125,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,0.0,0.0,0.0,396.6608949,1.0,0.0,0.0,0.0,1.0,0.0,348.8867758957812,287.3005279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,308.5140356,396.6608949,0.0,0.0,0.0,189.28633583707776,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,605.8743737187738,308.5140356,207.37455906292226,0.0,0.0,0.0,0.0,0.0
112,328.5745047,396.6608949,0.0,0.0,0.0,167.8266275576445,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,651.9934382987383,328.5745047,228.8342673423555,0.0,0.0,0.0,0.0,0.0
113,332.0588187,396.6608949,0.0,0.0,0.0,164.09927892879583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,660.0038841951842,332.0588187,232.5616159712042,0.0,0.0,0.0,0.0,0.0
