k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
80,541.2815198,781.293796,0.0,0.0,0.0,343.5187286063487,0.0,0.0,1.0,0.15166280808510627,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,148.1944278586278,71.28151979999996,57.65072516404591
81,510.2371802,781.293796,0.0,0.0,0.0,368.62662045826886,0.0,0.0,1.0,0.08561102170212767,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,83.65318128898132,40.23718020000001,32.54283331212576
82,470.167779,791.3176496,0.0,0.0,0.0,411.05761187674574,0.0,0.0,0.0003569765957446721,1.0,0.0,1.0,0.0,0.0,0.3488128898128813,0.1677789999999959,0.13569549364880723,0.0,0.0,977.1309771309772,470.0,380.1243422296054
83,453.1732935,791.3176496,0.0,0.0,0.0,424.80233022189054,0.0,0.0,0.9641984968085106,0.0,0.0,1.0,0.0,0.0,942.1482193347194,453.1732935,366.51531937810944,0.0,0.0,0.0,0.0,0.0
84,456.6195372,791.3176496,0.0,0.0,0.0,422.01509379715566,0.0,0.0,0.9715309302127658,0.0,0.0,1.0,0.0,0.0,949.3129671517672,456.6195372,369.3025558028443,0.0,0.0,0.0,0.0,0.0
85,462.0876488,791.3176496,0.0,0.0,0.0,417.59262076484055,0.0,0.0,0.9831652102127657,0.0,0.0,1.0,0.0,0.0,960.6811825363826,462.0876488,373.72502883515943,0.0,0.0,0.0,0.0,0.0
86,460.9349327,791.3176496,0.0,0.0,0.0,418.52490895481924,0.0,0.0,0.9807126227659573,0.0,0.0,1.0,0.0,0.0,958.2846833679835,460.9349327,372.79274064518074,0.0,0.0,0.0,0.0,0.0
87,488.5970503,779.3760622,0.0,0.0,0.0,384.21088696465335,0.0,0.0,1.0,0.03956819212765952,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,38.66330623700619,18.597050299999978,15.040833005741227
88,503.6051387,779.3760622,0.0,0.0,0.0,372.07271732385806,0.0,0.0,0.07150029510638296,1.0,0.0,1.0,0.0,0.0,69.86515322245322,33.6051387,27.1790026465365,0.0,0.0,977.1309771309772,470.0,380.1243422296054
89,516.1118787,779.3760622,0.0,0.0,0.0,361.9575762261204,0.0,0.0,1.0,0.09811038021276601,0.0,1.0,0.0,0.0,977.1309771309772,470.0,380.1243422296054,0.0,0.0,95.86669168399175,46.111878700000034,37.29414374427417
90,536.2694503,714.0545666,0.0,0.0,0.0,280.33313669974564,0.0,0.0,0.14099883042553193,1.0,0.0,1.0,0.0,0.0,137.774324948025,66.26945030000002,53.597087670649,0.0,0.0,977.1309771309772,470.0,380.1243422296054
91,404.2328834,585.2046364,0.0,0.0,0.0,258.27110680425164,0.0,0.0,0.0,0.860069964680851,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,840.401004989605,404.2328834,326.9335295957484
92,418.7248531,585.2046364,0.0,0.0,0.0,246.55036116632846,0.0,0.0,0.0,0.8909039427659573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.5298401247402,418.7248531,338.65427523367157
