k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,Qin_B1,Qout_B1,Qin_CHP1,Qout_CHP1,Pout_CHP1,Qin_B2,Qout_B2,Qin_CHP2,Qout_CHP2,Pout_CHP2
29,364.022102,396.6608949,0.0,0.0,0.0,132.13287472207003,0.0,0.0,731.5563758609226,364.022102,264.52802017793,0.0,0.0,0.0,0.0,0.0
30,364.022102,396.6608949,0.0,0.0,0.0,132.13287472207003,0.0,0.0,731.5563758609226,364.022102,264.52802017793,0.0,0.0,0.0,0.0,0.0
31,398.210111,587.1223702,0.0,0.0,0.0,297.7505664031422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.2622479069572,398.210111,289.37180379685776
32,525.2319391,781.293796,0.0,0.0,0.0,399.6176169411304,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,78.40046379894954,39.01203320971973,28.349311350558644
33,518.7740505,781.293796,0.0,0.0,0.0,404.31044321871616,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,65.42237935305093,32.5541446097198,23.656485072972878
34,513.0255398,791.3176496,0.0,0.0,0.0,418.5116315082528,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,53.86989495393131,26.805633909719802,19.479150383436235
35,505.2914575,791.3176496,0.0,0.0,0.0,424.1318437631454,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,38.327110087538344,19.071551609719734,13.858938128543565
36,489.3713909,791.3176496,0.0,0.0,0.0,435.7006569633911,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,6.333376296724434,3.1514850097197495,2.2901249282978697
37,482.3716511,791.3176496,0.0,0.0,0.0,440.7872363245934,0.0,0.0,969.3973386724891,482.3716511,350.5304132754066,0.0,0.0,0.0,0.0,0.0
38,493.9611443,791.3176496,0.0,0.0,0.0,432.36536942635325,0.0,0.0,15.557166129681752,7.741238409719756,5.625412465335729,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
39,505.3895853,779.3760622,0.0,0.0,0.0,412.1189487350761,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,38.524312447902815,19.169679409719777,13.930245756612884
40,516.1118787,779.3760622,0.0,0.0,0.0,404.3272596335476,0.0,0.0,60.07235048604781,29.89197280971979,21.721934858141363,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
41,528.6186163,779.3760622,0.0,0.0,0.0,395.2388484683023,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311,0.0,0.0,85.20649366645145,42.39871040971974,30.81034602338666
42,531.5059581,714.0545666,0.0,0.0,0.0,327.8191758462627,0.0,0.0,91.00903502719495,45.2860522097198,32.90852304542637,0.0,0.0,977.1309771309772,486.21990589028024,353.326867708311
43,402.1626028,585.2046364,0.0,0.0,0.0,292.9606310942803,0.0,0.0,808.2053660883582,402.1626028,292.2440053057197,0.0,0.0,0.0,0.0,0.0
44,402.1626028,585.2046364,0.0,0.0,0.0,292.9606310942803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.2053660883582,402.1626028,292.2440053057197
45,398.0220389,585.2046364,0.0,0.0,0.0,295.9695010636296,0.0,0.0,799.8842891425837,398.0220389,289.23513533637043,0.0,0.0,0.0,0.0,0.0
46,370.9907276,396.6608949,0.0,0.0,0.0,127.06890546525483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,745.5608620189296,370.9907276,269.5919894347452
47,377.9593531,396.6608949,0.0,0.0,0.0,122.0049362811078,0.0,0.0,759.5653479759718,377.9593531,274.6559586188922,0.0,0.0,0.0,0.0,0.0
48,381.4436671,396.6608949,0.0,0.0,0.0,119.47295078068271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,766.5675934665534,381.4436671,277.1879441193173
