k,Q_D,P_D,E_TES,Qin_TES,Qout_TES,Pgrid,dB1,dB2,dCHP1,dCHP2,din_TES,dout_TES,Qin_B1,Qin_B2,Qout_B1,Qout_B2,Qin_CHP1,Qin_CHP2,Qout_CHP1,Qout_CHP2,Pout_CHP1,Pout_CHP2
66,526.7424659,714.0545666,0.0,0.0,0.0,714.0545666,1.0,1.0,0.0,0.0,0.0,1.0,521.3187801551561,114.6125,420.74246589999996,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
67,391.8111945,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,346.9622778929687,114.6125,285.8111945,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
68,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,344.28708705093743,106.00000000000001,283.7409138,0.0,0.0,0.0,0.0,0.0,0.0
69,389.7409138,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,344.28708705093743,114.6125,283.7409138,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
70,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,302.0487891648437,114.6125,251.0534765,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
71,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,302.0487891648437,114.6125,251.0534765,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
72,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,306.55117616171873,114.6125,254.53779050000003,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
73,357.0534765,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,302.0487891648437,114.6125,251.0534765,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
74,364.022102,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,311.05355992812497,114.6125,258.022102,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
75,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,297.54640539843746,114.6125,247.569165,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
76,358.7956335,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,304.29998266328124,114.6125,252.7956335,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
77,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,313.30475342656246,106.00000000000001,259.764259,0.0,0.0,0.0,0.0,0.0,0.0
78,381.4436671,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,333.5654885807812,114.6125,275.4436671,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
79,410.6426673,587.1223702,0.0,0.0,0.0,587.1223702,1.0,1.0,0.0,0.0,0.0,1.0,371.29607165171876,114.6125,304.6426673,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
80,541.2815198,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,540.1059638665623,106.00000000000001,435.28151979999996,0.0,0.0,0.0,0.0,0.0,0.0
81,510.2371802,781.293796,0.0,0.0,0.0,781.293796,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,499.99085628968743,106.00000000000001,404.2371802,0.0,0.0,0.0,0.0,0.0,0.0
82,470.167779,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,448.2136769265624,106.00000000000001,364.167779,0.0,0.0,0.0,0.0,0.0,0.0
83,453.1732935,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,426.25361519453116,106.00000000000001,347.1732935,0.0,0.0,0.0,0.0,0.0,0.0
84,456.6195372,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,430.70680822562497,106.00000000000001,350.6195372,0.0,0.0,0.0,0.0,0.0,0.0
85,462.0876488,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,437.77263368375,106.00000000000001,356.0876488,0.0,0.0,0.0,0.0,0.0,0.0
86,460.9349327,791.3176496,0.0,0.0,0.0,791.3176496,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,436.2831083482812,106.00000000000001,354.9349327,0.0,0.0,0.0,0.0,0.0,0.0
87,488.5970503,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,472.0277509345312,106.00000000000001,382.5970503,0.0,0.0,0.0,0.0,0.0,0.0
88,503.6051387,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,491.4210151639062,106.00000000000001,397.6051387,0.0,0.0,0.0,0.0,0.0,0.0
89,516.1118787,779.3760622,0.0,0.0,0.0,779.3760622,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,507.5820682576562,106.00000000000001,410.11187870000003,0.0,0.0,0.0,0.0,0.0,0.0
90,536.2694503,714.0545666,0.0,0.0,0.0,714.0545666,1.0,1.0,0.0,0.0,0.0,1.0,533.6294303095312,114.6125,430.2694503,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
91,404.2328834,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,363.0134290184374,114.6125,298.2328834,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
92,418.7248531,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,381.7397711151562,114.6125,312.7248531,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
93,414.5842893,585.2046364,0.0,0.0,0.0,585.2046364,1.0,1.0,0.0,0.0,0.0,1.0,376.3893863298437,114.6125,308.5842893,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
94,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,322.3095243190624,114.6125,266.7328846,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
95,367.506416,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,315.55594692499994,114.6125,261.506416,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
96,372.7328846,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,322.3095243190624,114.6125,266.7328846,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
97,365.764259,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,313.30475342656246,114.6125,259.764259,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
98,377.9593531,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,329.0631015839062,114.6125,271.9593531,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
99,360.5377905,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,306.55117616171873,114.6125,254.53779050000003,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
100,362.279945,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,308.8023664296875,114.6125,256.279945,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
101,346.6005395,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,288.54163463515624,114.6125,240.60053950000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
102,353.569165,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,297.54640539843746,114.6125,247.569165,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
103,352.4361953,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,296.08239611421874,106.00000000000001,246.4361953,0.0,0.0,0.0,0.0,0.0,0.0
104,348.135434,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,290.5250061218749,114.6125,242.13543399999998,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
105,312.5361524,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,244.52405942937494,114.6125,206.5361524,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
106,300.9302561,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,229.52706530421872,114.6125,194.9302561,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
107,267.7250826,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,186.6197551721875,106.00000000000001,161.7250826,0.0,0.0,0.0,0.0,0.0,0.0
108,253.5148143,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,168.25742410328124,114.6125,147.5148143,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
109,249.9992176,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,114.6125,163.71461399249998,106.00000000000001,143.9992176,0.0,0.0,0.0,0.0,0.0,0.0
110,287.3005279,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,211.91490089578124,114.6125,181.30052790000002,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
111,308.5140356,396.6608949,0.0,0.0,0.0,396.6608949,1.0,1.0,0.0,0.0,0.0,1.0,239.32673037687496,114.6125,202.5140356,106.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0
